kind	level	name	nameid	class	perfab	sprite	desc
1	0	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	1	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	2	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	3	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	4	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	5	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	6	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	7	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	8	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	9	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	10	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	11	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	12	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	13	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	14	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	15	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	16	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	17	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	18	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	19	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	20	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	21	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	22	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	23	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	24	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	25	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	26	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	27	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	28	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	29	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	30	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	31	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	32	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	33	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	34	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	35	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	36	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	37	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	38	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	39	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	40	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	41	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
1	42	王城/圣殿	1	0	Minju_1	City_renlei_bingying_1	2001
